code,time_zone_id,country,region,latitude,longitude
LGD,America/Los_Angeles,United States,Domestic,45.29020944,-118.0071108
LGG,Europe/Brussels,Belgium,Europe,,
LGI,America/Nassau,Bahamas,Caribbean,,
LGK,Asia/Kuala_Lumpur,Malaysia,Pacific,,
LLE,Africa/Johannesburg,South Africa,Africa,,
LXU,Africa/Lusaka,Zambia,Africa,,
LLJ,Asia/Jakarta,Indonesia,Pacific,44.52297806,-114.2175642
LXV,America/Denver,United States,Domestic,39.2202675,-106.3166906
SIL,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
LLO,Asia/Makassar,Indonesia,Pacific,,
LLT,Africa/Luanda,Angola,Africa,,
AKH,Asia/Riyadh,Saudi Arabia,Middle East,35.20265944,-81.1498675
YDH,America/St_Johns,Canada,Canada,,
AQM,America/Porto_Velho,Brazil,South America,,
ARP,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
ASE,America/Denver,United States,Domestic,39.22316,-106.868845
ASG,Pacific/Auckland,New Zealand,Australia/New Zealand,36.17641056,-94.11925833
ASQ,America/Los_Angeles,United States,Domestic,,
ASU,America/Asuncion,Paraguay,South America,,
ATA,America/Lima,Peru,South America,33.101805,-94.19532694
ATT,America/Nome,United States,Alaska,,
AUE,Africa/Cairo,Egypt,Africa,,
AUW,America/Chicago,United States,Domestic,44.92847222,-89.62661111
AUZ,America/Chicago,United States,Domestic,,
AVI,America/Havana,Cuba,Caribbean,,
HEL,Europe/Helsinki,Finland,Europe,,
JGC,America/Phoenix,United States,Domestic,,
YDS,America/Vancouver,Canada,Canada,,
BRR,Europe/London,United Kingdom,Europe,,
AED,America/Anchorage,United States,Alaska,,
YCJ,America/Vancouver,Canada,Canada,,
YDK,America/Toronto,Canada,Canada,,
LLW,Africa/Blantyre,Malawi,Africa,,
ONN,America/Anchorage,United States,Alaska,,
PNS,America/Chicago,United States,Domestic,30.47330556,-87.18744444
PBA,America/Anchorage,United States,Alaska,,
CWO,America/Chicago,United States,Domestic,,
YMR,America/Vancouver,Canada,Canada,,
JRE,America/New_York,United States,Domestic,,
YNK,America/Vancouver,Canada,Canada,,
TEK,America/Anchorage,United States,Alaska,,
LPL,Europe/London,United Kingdom,Europe,,
LPP,Europe/Helsinki,Finland,Europe,,
AGM,America/Godthab,Greenland,Other International,,
ATD,Pacific/Guadalcanal,Solomon Islands,Pacific,,
AVK,Asia/Ulaanbaatar,Mongolia,Pacific,36.77317,-98.66994611
AVN,Europe/Paris,France,Europe,,
AYY,Asia/Colombo,Sri Lanka,Pacific,,
LPQ,Asia/Vientiane,Lao People's Democratic Republic,Pacific,,
SJX,America/Belize,Belize,Mexico/Central America,45.69227778,-85.56630556
SAH,Asia/Aden,Yemen,Middle East,,
DGB,America/Anchorage,United States,Alaska,,
FIV,America/Juneau,United States,Alaska,,
FRP,America/Juneau,United States,Alaska,,
SAL,America/El_Salvador,El Salvador,Mexico/Central America,,
SAN,America/Los_Angeles,United States,Domestic,32.73355611,-117.1896567
CDZ,Europe/Madrid,Spain,Europe,,
AUB,America/Cuiaba,Brazil,South America,,
LPU,Asia/Makassar,Indonesia,Pacific,,
